order_id,customer_id,restaurant_id,dish,staff_id,city,order_date,quantity,price,discount,total_amount,profit,loss,frequency,last_order_days,churn,rating
ORDER_29,CUST_21,REST_3,Fries,STAFF_1,Hyderabad,2025-03-05,3,PKR 1702,PKR 0.15,PKR 4340.1,PKR 1478.54,PKR 375.01,6,17,0,1
ORDER_30,CUST_49,REST_1,BBQ Platter,STAFF_8,Hyderabad,2025-02-27,4,PKR 816,PKR 0.1,PKR 2937.6,PKR 1016.88,PKR 255.96,7,1,0,4
ORDER_31,CUST_43,REST_5,Burger,STAFF_9,Sukkur,2025-03-08,5,PKR 918,PKR 0.1,PKR 4131.0,PKR 1577.1,PKR 47.65,19,11,0,3
ORDER_32,CUST_5,REST_2,Fries,STAFF_12,Sukkur,2025-03-07,4,PKR 1341,PKR 0.0,PKR 5364.0,PKR 1156.26,PKR 309.28,14,2,0,1
ORDER_33,CUST_67,REST_9,Pasta,STAFF_12,Lahore,2025-02-01,1,PKR 1460,PKR 0.1,PKR 1314.0,PKR 377.05,PKR 87.17,10,46,1,5
ORDER_34,CUST_40,REST_7,Sandwich,STAFF_13,Sukkur,2025-02-14,5,PKR 360,PKR 0.05,PKR 1710.0,PKR 386.69,PKR 160.8,19,39,1,3
ORDER_35,CUST_52,REST_9,Biryani,STAFF_10,Sukkur,2025-02-24,2,PKR 980,PKR 0.1,PKR 1764.0,PKR 422.47,PKR 78.0,16,32,1,2
ORDER_36,CUST_85,REST_2,Karahi,STAFF_17,Multan,2025-02-20,3,PKR 291,PKR 0.05,PKR 829.35,PKR 250.33,PKR 18.63,1,9,0,1
ORDER_37,CUST_32,REST_8,Burger,STAFF_15,Lahore,2025-01-02,5,PKR 498,PKR 0.15,PKR 2116.5,PKR 525.55,PKR 51.64,4,57,1,4
ORDER_38,CUST_29,REST_3,BBQ Platter,STAFF_2,Multan,2025-05-16,2,PKR 1978,PKR 0.0,PKR 3956.0,PKR 937.33,PKR 317.04,20,35,1,3
ORDER_39,CUST_97,REST_8,Fries,STAFF_18,Lahore,2025-03-12,2,PKR 1623,PKR 0.15,PKR 2759.1,PKR 648.45,PKR 207.42,17,49,1,4
ORDER_40,CUST_81,REST_4,Karahi,STAFF_15,Karachi,2025-01-21,3,PKR 580,PKR 0.1,PKR 1566.0,PKR 314.38,PKR 139.85,5,8,0,2
ORDER_41,CUST_50,REST_3,Pasta,STAFF_3,Lahore,2025-04-18,4,PKR 777,PKR 0.15,PKR 2641.8,PKR 593.7,PKR 54.64,19,24,0,1
ORDER_42,CUST_98,REST_10,Fries,STAFF_16,Karachi,2025-04-18,3,PKR 711,PKR 0.15,PKR 1813.05,PKR 645.51,PKR 172.86,18,34,1,5
ORDER_43,CUST_29,REST_8,Pasta,STAFF_9,Lahore,2025-04-14,4,PKR 159,PKR 0.15,PKR 540.6,PKR 108.57,PKR 36.71,6,46,1,4
ORDER_44,CUST_17,REST_10,Biryani,STAFF_13,Multan,2025-04-29,5,PKR 1457,PKR 0.0,PKR 7285.0,PKR 911.97,PKR 312.24,2,11,0,3
ORDER_45,CUST_49,REST_6,Pasta,STAFF_15,Sukkur,2025-04-18,3,PKR 1658,PKR 0.15,PKR 4227.9,PKR 775.72,PKR 402.16,3,16,0,4
ORDER_46,CUST_3,REST_9,Biryani,STAFF_12,Hyderabad,2025-02-21,1,PKR 1699,PKR 0.0,PKR 1699.0,PKR 554.33,PKR 161.34,1,53,1,5
ORDER_47,CUST_20,REST_4,Pizza,STAFF_16,Karachi,2025-02-12,5,PKR 546,PKR 0.15,PKR 2320.5,PKR 718.98,PKR 177.96,20,38,1,1
ORDER_48,CUST_100,REST_3,Karahi,STAFF_4,Multan,2025-01-20,1,PKR 738,PKR 0.15,PKR 627.3,PKR 137.38,PKR 44.85,8,37,1,1
ORDER_49,CUST_90,REST_5,Burger,STAFF_19,Karachi,2025-03-29,3,PKR 1191,PKR 0.15,PKR 3037.05,PKR 906.43,PKR 20.94,14,0,0,4
ORDER_50,CUST_14,REST_7,Sandwich,STAFF_15,Hyderabad,2025-05-04,4,PKR 460,PKR 0.1,PKR 1656.0,PKR 471.59,PKR 152.29,14,29,0,5
ORDER_51,CUST_35,REST_6,Pasta,STAFF_3,Sukkur,2025-03-28,4,PKR 599,PKR 0.15,PKR 2036.6,PKR 551.83,PKR 136.08,16,1,0,3
ORDER_52,CUST_24,REST_8,Pasta,STAFF_12,Sukkur,2025-02-18,3,PKR 672,PKR 0.1,PKR 1814.4,PKR 483.97,PKR 93.74,8,5,0,4
ORDER_53,CUST_63,REST_9,Pasta,STAFF_16,Lahore,2025-03-04,4,PKR 1723,PKR 0.0,PKR 6892.0,PKR 881.6,PKR 152.72,19,19,0,3
ORDER_54,CUST_61,REST_9,Sandwich,STAFF_14,Multan,2025-01-31,3,PKR 820,PKR 0.15,PKR 2091.0,PKR 379.05,PKR 52.57,7,46,1,3
ORDER_55,CUST_16,REST_9,Pizza,STAFF_7,Hyderabad,2025-03-17,4,PKR 666,PKR 0.1,PKR 2397.6,PKR 945.02,PKR 199.63,12,14,0,2
ORDER_56,CUST_39,REST_1,Pizza,STAFF_9,Karachi,2025-05-06,1,PKR 1233,PKR 0.1,PKR 1109.7,PKR 343.15,PKR 14.01,1,6,0,5
ORDER_57,CUST_37,REST_8,BBQ Platter,STAFF_15,Sukkur,2025-01-17,2,PKR 205,PKR 0.1,PKR 369.0,PKR 141.08,PKR 17.63,16,25,0,1
ORDER_58,CUST_74,REST_1,Pizza,STAFF_5,Multan,2025-02-27,3,PKR 274,PKR 0.05,PKR 780.9,PKR 105.84,PKR 59.7,17,49,1,4
ORDER_59,CUST_58,REST_8,Karahi,STAFF_19,Lahore,2025-02-23,3,PKR 1264,PKR 0.0,PKR 3792.0,PKR 1072.72,PKR 280.64,7,40,1,3
ORDER_60,CUST_85,REST_2,Pizza,STAFF_8,Hyderabad,2025-05-01,5,PKR 253,PKR 0.05,PKR 1201.75,PKR 121.14,PKR 54.14,2,18,0,2
ORDER_61,CUST_37,REST_5,BBQ Platter,STAFF_3,Hyderabad,2025-02-08,3,PKR 1713,PKR 0.05,PKR 4882.05,PKR 1110.87,PKR 265.86,9,58,1,2
ORDER_62,CUST_10,REST_1,Pizza,STAFF_10,Multan,2025-03-19,5,PKR 1986,PKR 0.1,PKR 8937.0,PKR 2071.11,PKR 418.88,13,44,1,3
ORDER_63,CUST_65,REST_9,BBQ Platter,STAFF_15,Karachi,2025-01-07,5,PKR 181,PKR 0.15,PKR 769.25,PKR 246.44,PKR 46.44,8,5,0,5
ORDER_64,CUST_76,REST_1,Karahi,STAFF_19,Karachi,2025-05-30,2,PKR 1063,PKR 0.15,PKR 1807.1,PKR 677.34,PKR 32.8,16,27,0,1
ORDER_65,CUST_61,REST_6,Fries,STAFF_11,Sukkur,2025-03-15,1,PKR 1856,PKR 0.05,PKR 1763.2,PKR 350.77,PKR 122.31,13,42,1,5
ORDER_66,CUST_5,REST_8,Burger,STAFF_11,Sukkur,2025-01-01,3,PKR 337,PKR 0.15,PKR 859.35,PKR 308.91,PKR 70.89,18,42,1,4
ORDER_67,CUST_53,REST_1,Pasta,STAFF_17,Sukkur,2025-02-22,5,PKR 1649,PKR 0.15,PKR 7008.25,PKR 2015.73,PKR 532.62,18,17,0,2
ORDER_68,CUST_37,REST_8,BBQ Platter,STAFF_4,Karachi,2025-01-04,5,PKR 1736,PKR 0.05,PKR 8246.0,PKR 2580.46,PKR 256.24,14,35,1,1
ORDER_69,CUST_29,REST_2,BBQ Platter,STAFF_4,Hyderabad,2025-05-04,4,PKR 1567,PKR 0.1,PKR 5641.2,PKR 1425.31,PKR 154.24,8,30,0,4
ORDER_70,CUST_71,REST_3,Fries,STAFF_7,Multan,2025-04-17,5,PKR 1628,PKR 0.05,PKR 7733.0,PKR 2777.76,PKR 213.62,17,21,0,3
ORDER_71,CUST_1,REST_5,Karahi,STAFF_19,Multan,2025-03-27,4,PKR 1872,PKR 0.05,PKR 7113.6,PKR 1664.33,PKR 344.54,18,35,1,4
ORDER_72,CUST_59,REST_6,Pasta,STAFF_8,Multan,2025-04-08,4,PKR 578,PKR 0.15,PKR 1965.2,PKR 222.25,PKR 146.35,5,24,0,4
ORDER_73,CUST_5,REST_3,Sandwich,STAFF_4,Lahore,2025-02-09,1,PKR 1177,PKR 0.15,PKR 1000.45,PKR 104.65,PKR 14.42,16,4,0,3
ORDER_74,CUST_44,REST_10,Fries,STAFF_3,Sukkur,2025-05-05,5,PKR 878,PKR 0.1,PKR 3951.0,PKR 1138.05,PKR 350.63,18,55,1,1
ORDER_75,CUST_80,REST_2,Pasta,STAFF_10,Hyderabad,2025-01-26,1,PKR 988,PKR 0.0,PKR 988.0,PKR 324.17,PKR 69.54,6,28,0,3
ORDER_76,CUST_4,REST_1,Sandwich,STAFF_2,Sukkur,2025-05-25,3,PKR 867,PKR 0.15,PKR 2210.85,PKR 317.63,PKR 117.43,6,43,1,2
ORDER_77,CUST_23,REST_2,Fries,STAFF_20,Hyderabad,2025-04-28,4,PKR 1969,PKR 0.05,PKR 7482.2,PKR 1269.4,PKR 477.29,1,16,0,4
ORDER_78,CUST_37,REST_9,Pizza,STAFF_3,Lahore,2025-03-06,3,PKR 1303,PKR 0.1,PKR 3518.1,PKR 1026.17,PKR 149.28,10,29,0,2
ORDER_79,CUST_50,REST_8,Burger,STAFF_8,Lahore,2025-04-12,5,PKR 835,PKR 0.1,PKR 3757.5,PKR 1494.76,PKR 110.93,1,17,0,5
ORDER_80,CUST_88,REST_1,BBQ Platter,STAFF_10,Hyderabad,2025-03-06,5,PKR 1742,PKR 0.1,PKR 7839.0,PKR 1298.93,PKR 149.04,5,43,1,1
ORDER_81,CUST_81,REST_1,Karahi,STAFF_15,Karachi,2025-04-17,5,PKR 847,PKR 0.05,PKR 4023.25,PKR 511.11,PKR 118.73,7,11,0,2
ORDER_82,CUST_70,REST_6,Karahi,STAFF_6,Sukkur,2025-01-30,4,PKR 1751,PKR 0.1,PKR 6303.6,PKR 2042.16,PKR 213.51,3,29,0,2
ORDER_83,CUST_97,REST_4,Fries,STAFF_18,Sukkur,2025-04-27,1,PKR 1719,PKR 0.15,PKR 1461.15,PKR 152.22,PKR 78.4,9,23,0,5
ORDER_84,CUST_49,REST_6,Burger,STAFF_8,Lahore,2025-01-17,1,PKR 1368,PKR 0.1,PKR 1231.2,PKR 461.18,PKR 27.25,15,40,1,3
ORDER_85,CUST_84,REST_7,Burger,STAFF_5,Karachi,2025-05-18,1,PKR 723,PKR 0.15,PKR 614.55,PKR 82.86,PKR 14.43,13,8,0,4
ORDER_86,CUST_48,REST_9,Fries,STAFF_19,Hyderabad,2025-03-13,4,PKR 1441,PKR 0.0,PKR 5764.0,PKR 2018.02,PKR 354.86,12,2,0,2
ORDER_87,CUST_57,REST_8,Pasta,STAFF_12,Karachi,2025-02-01,3,PKR 1215,PKR 0.1,PKR 3280.5,PKR 387.64,PKR 90.5,15,60,1,1
ORDER_88,CUST_85,REST_4,Biryani,STAFF_2,Sukkur,2025-02-23,2,PKR 357,PKR 0.05,PKR 678.3,PKR 81.79,PKR 51.9,7,37,1,2
ORDER_89,CUST_43,REST_3,Biryani,STAFF_9,Hyderabad,2025-01-07,2,PKR 1206,PKR 0.1,PKR 2170.8,PKR 737.1,PKR 23.86,1,8,0,3
ORDER_90,CUST_31,REST_10,Sandwich,STAFF_1,Hyderabad,2025-01-17,3,PKR 207,PKR 0.05,PKR 589.95,PKR 190.27,PKR 31.04,15,30,0,3
ORDER_91,CUST_66,REST_10,Burger,STAFF_15,Multan,2025-05-14,2,PKR 1359,PKR 0.0,PKR 2718.0,PKR 864.79,PKR 247.0,15,19,0,1
ORDER_92,CUST_8,REST_8,Fries,STAFF_14,Karachi,2025-02-07,4,PKR 1558,PKR 0.15,PKR 5297.2,PKR 646.51,PKR 42.8,5,4,0,3
ORDER_93,CUST_80,REST_10,Sandwich,STAFF_13,Multan,2025-01-30,5,PKR 703,PKR 0.15,PKR 2987.75,PKR 751.91,PKR 128.53,18,54,1,2
ORDER_94,CUST_56,REST_8,Pasta,STAFF_14,Sukkur,2025-03-22,4,PKR 916,PKR 0.15,PKR 3114.4,PKR 993.13,PKR 97.34,9,42,1,3
ORDER_95,CUST_20,REST_8,Burger,STAFF_3,Karachi,2025-02-03,1,PKR 984,PKR 0.0,PKR 984.0,PKR 318.2,PKR 36.67,2,35,1,5
ORDER_96,CUST_72,REST_9,Sandwich,STAFF_4,Lahore,2025-03-15,3,PKR 1889,PKR 0.15,PKR 4816.95,PKR 1736.16,PKR 347.33,10,38,1,3
ORDER_97,CUST_14,REST_10,Pasta,STAFF_5,Lahore,2025-01-30,2,PKR 1835,PKR 0.0,PKR 3670.0,PKR 752.48,PKR 204.15,9,48,1,5
ORDER_98,CUST_29,REST_7,Biryani,STAFF_20,Sukkur,2025-03-28,1,PKR 469,PKR 0.1,PKR 422.1,PKR 131.19,PKR 13.04,1,22,0,2
ORDER_99,CUST_19,REST_10,Fries,STAFF_3,Hyderabad,2025-02-10,1,PKR 287,PKR 0.05,PKR 272.65,PKR 58.04,PKR 12.37,10,23,0,3
ORDER_100,CUST_100,REST_10,Burger,STAFF_2,Hyderabad,2025-04-19,2,PKR 1645,PKR 0.0,PKR 3290.0,PKR 994.21,PKR 89.52,20,31,1,4
ORDER_101,CUST_54,REST_5,Pasta,STAFF_17,Karachi,2025-05-05,3,PKR 980,PKR 0.0,PKR 2940.0,PKR 543.82,PKR 199.47,10,33,1,1
ORDER_102,CUST_29,REST_7,Biryani,STAFF_1,Hyderabad,2025-01-31,3,PKR 532,PKR 0.05,PKR 1516.2,PKR 499.21,PKR 43.89,16,0,0,4
ORDER_103,CUST_23,REST_3,Fries,STAFF_18,Hyderabad,2025-01-11,5,PKR 1244,PKR 0.1,PKR 5598.0,PKR 680.84,PKR 482.42,1,27,0,4
ORDER_104,CUST_10,REST_6,Fries,STAFF_19,Lahore,2025-02-13,4,PKR 692,PKR 0.0,PKR 2768.0,PKR 613.14,PKR 267.44,20,51,1,4
ORDER_105,CUST_89,REST_6,Burger,STAFF_14,Karachi,2025-03-21,2,PKR 992,PKR 0.15,PKR 1686.4,PKR 433.72,PKR 66.74,11,47,1,2
ORDER_106,CUST_43,REST_3,Burger,STAFF_17,Karachi,2025-02-07,5,PKR 1144,PKR 0.05,PKR 5434.0,PKR 2020.24,PKR 189.85,4,15,0,2
ORDER_107,CUST_33,REST_4,Pizza,STAFF_20,Hyderabad,2025-05-29,1,PKR 462,PKR 0.15,PKR 392.7,PKR 93.93,PKR 22.14,19,28,0,5
ORDER_108,CUST_42,REST_6,Pizza,STAFF_15,Karachi,2025-04-01,4,PKR 1005,PKR 0.1,PKR 3618.0,PKR 1226.14,PKR 213.98,3,32,1,3
ORDER_109,CUST_60,REST_8,Biryani,STAFF_2,Sukkur,2025-04-29,3,PKR 257,PKR 0.0,PKR 771.0,PKR 219.35,PKR 39.09,18,37,1,1
ORDER_110,CUST_58,REST_10,Pasta,STAFF_11,Multan,2025-03-29,4,PKR 1126,PKR 0.05,PKR 4278.8,PKR 1657.25,PKR 192.77,3,45,1,5
ORDER_111,CUST_83,REST_3,Biryani,STAFF_8,Lahore,2025-04-10,4,PKR 1173,PKR 0.05,PKR 4457.4,PKR 932.35,PKR 409.16,11,26,0,5
ORDER_112,CUST_7,REST_6,Burger,STAFF_11,Karachi,2025-02-08,5,PKR 1489,PKR 0.15,PKR 6328.25,PKR 1172.27,PKR 458.0,3,21,0,5
ORDER_113,CUST_85,REST_3,Sandwich,STAFF_10,Lahore,2025-03-26,2,PKR 1318,PKR 0.0,PKR 2636.0,PKR 508.42,PKR 99.29,5,52,1,5
ORDER_114,CUST_12,REST_7,Sandwich,STAFF_1,Sukkur,2025-02-19,3,PKR 469,PKR 0.05,PKR 1336.65,PKR 270.7,PKR 102.41,5,14,0,2
ORDER_115,CUST_10,REST_5,Burger,STAFF_17,Multan,2025-04-07,5,PKR 177,PKR 0.1,PKR 796.5,PKR 289.06,PKR 49.23,6,9,0,2
ORDER_116,CUST_89,REST_10,Pizza,STAFF_15,Karachi,2025-04-25,4,PKR 846,PKR 0.05,PKR 3214.8,PKR 1256.59,PKR 196.29,18,14,0,2
ORDER_117,CUST_40,REST_8,Pasta,STAFF_12,Multan,2025-04-18,4,PKR 1045,PKR 0.1,PKR 3762.0,PKR 1254.39,PKR 189.19,7,10,0,5
ORDER_118,CUST_18,REST_5,Biryani,STAFF_16,Sukkur,2025-03-11,5,PKR 310,PKR 0.0,PKR 1550.0,PKR 287.55,PKR 118.28,17,28,0,2
ORDER_119,CUST_56,REST_2,Pasta,STAFF_15,Sukkur,2025-04-09,1,PKR 949,PKR 0.0,PKR 949.0,PKR 207.77,PKR 35.49,12,5,0,2
ORDER_120,CUST_4,REST_6,Burger,STAFF_11,Hyderabad,2025-02-05,2,PKR 178,PKR 0.1,PKR 320.4,PKR 120.22,PKR 15.14,16,48,1,4
ORDER_121,CUST_79,REST_1,Burger,STAFF_1,Sukkur,2025-05-16,2,PKR 1810,PKR 0.05,PKR 3439.0,PKR 910.1,PKR 250.1,4,27,0,3
ORDER_122,CUST_31,REST_5,Burger,STAFF_2,Hyderabad,2025-05-08,4,PKR 1408,PKR 0.15,PKR 4787.2,PKR 568.92,PKR 400.54,18,38,1,1
ORDER_123,CUST_81,REST_9,Pasta,STAFF_5,Sukkur,2025-01-22,4,PKR 103,PKR 0.1,PKR 370.8,PKR 63.84,PKR 15.45,12,33,1,1
ORDER_124,CUST_68,REST_9,Biryani,STAFF_13,Lahore,2025-01-05,1,PKR 1401,PKR 0.15,PKR 1190.85,PKR 469.57,PKR 30.21,3,22,0,3
ORDER_125,CUST_31,REST_2,Sandwich,STAFF_5,Karachi,2025-04-29,3,PKR 1218,PKR 0.1,PKR 3288.6,PKR 1131.45,PKR 57.58,16,44,1,2
ORDER_126,CUST_18,REST_2,BBQ Platter,STAFF_2,Sukkur,2025-03-21,2,PKR 189,PKR 0.05,PKR 359.1,PKR 131.34,PKR 11.33,13,32,1,5
ORDER_127,CUST_61,REST_5,Biryani,STAFF_7,Sukkur,2025-02-01,3,PKR 1865,PKR 0.0,PKR 5595.0,PKR 2012.74,PKR 185.71,12,51,1,4
ORDER_128,CUST_52,REST_8,Fries,STAFF_11,Hyderabad,2025-03-10,4,PKR 1517,PKR 0.15,PKR 5157.8,PKR 1084.19,PKR 411.23,3,51,1,4
ORDER_129,CUST_11,REST_7,Pizza,STAFF_18,Sukkur,2025-04-25,3,PKR 310,PKR 0.0,PKR 930.0,PKR 184.49,PKR 27.49,14,38,1,2
ORDER_130,CUST_89,REST_8,Sandwich,STAFF_15,Karachi,2025-01-15,3,PKR 1359,PKR 0.15,PKR 3465.45,PKR 631.98,PKR 339.62,13,4,0,3
ORDER_131,CUST_66,REST_3,Biryani,STAFF_5,Multan,2025-04-04,4,PKR 171,PKR 0.05,PKR 649.8,PKR 78.09,PKR 50.59,13,23,0,5
ORDER_132,CUST_5,REST_10,Pizza,STAFF_15,Sukkur,2025-04-12,3,PKR 1009,PKR 0.0,PKR 3027.0,PKR 823.88,PKR 160.27,9,20,0,2
ORDER_133,CUST_15,REST_1,Pizza,STAFF_16,Multan,2025-04-25,4,PKR 1970,PKR 0.0,PKR 7880.0,PKR 1406.84,PKR 205.11,20,13,0,3
ORDER_134,CUST_89,REST_8,Pasta,STAFF_4,Hyderabad,2025-01-23,1,PKR 1025,PKR 0.05,PKR 973.75,PKR 359.9,PKR 43.34,11,51,1,3
ORDER_135,CUST_91,REST_2,Karahi,STAFF_10,Hyderabad,2025-02-21,2,PKR 1725,PKR 0.1,PKR 3105.0,PKR 784.41,PKR 37.68,5,50,1,2
ORDER_136,CUST_64,REST_1,Sandwich,STAFF_18,Multan,2025-03-21,3,PKR 1057,PKR 0.05,PKR 3012.45,PKR 854.28,PKR 25.97,16,25,0,5
ORDER_137,CUST_53,REST_7,Burger,STAFF_5,Sukkur,2025-05-22,1,PKR 1021,PKR 0.15,PKR 867.85,PKR 263.85,PKR 29.9,19,40,1,2
ORDER_138,CUST_99,REST_3,Fries,STAFF_17,Karachi,2025-02-27,1,PKR 1161,PKR 0.05,PKR 1102.95,PKR 210.93,PKR 17.86,17,22,0,3
ORDER_139,CUST_11,REST_5,Pasta,STAFF_18,Sukkur,2025-02-13,2,PKR 1380,PKR 0.1,PKR 2484.0,PKR 706.27,PKR 23.21,19,37,1,2
ORDER_140,CUST_22,REST_10,Sandwich,STAFF_19,Karachi,2025-03-09,1,PKR 266,PKR 0.0,PKR 266.0,PKR 102.29,PKR 20.51,7,41,1,5
ORDER_141,CUST_54,REST_10,Biryani,STAFF_16,Multan,2025-04-14,3,PKR 1414,PKR 0.1,PKR 3817.8,PKR 934.92,PKR 307.21,15,19,0,1
ORDER_142,CUST_89,REST_1,Pizza,STAFF_15,Lahore,2025-03-23,4,PKR 1051,PKR 0.05,PKR 3993.8,PKR 806.98,PKR 57.38,12,46,1,4
ORDER_143,CUST_17,REST_6,Burger,STAFF_11,Hyderabad,2025-01-13,4,PKR 350,PKR 0.1,PKR 1260.0,PKR 295.95,PKR 17.75,13,18,0,5
ORDER_144,CUST_54,REST_4,Pizza,STAFF_11,Multan,2025-05-08,3,PKR 488,PKR 0.05,PKR 1390.8,PKR 346.98,PKR 71.59,10,56,1,4
ORDER_145,CUST_3,REST_2,Fries,STAFF_17,Lahore,2025-05-01,2,PKR 540,PKR 0.1,PKR 972.0,PKR 111.39,PKR 27.35,18,18,0,1
ORDER_146,CUST_14,REST_7,Pizza,STAFF_9,Sukkur,2025-02-19,4,PKR 849,PKR 0.0,PKR 3396.0,PKR 747.71,PKR 193.67,18,23,0,3
ORDER_147,CUST_10,REST_7,BBQ Platter,STAFF_18,Sukkur,2025-04-06,5,PKR 1493,PKR 0.0,PKR 7465.0,PKR 1034.64,PKR 72.17,11,50,1,5
ORDER_148,CUST_47,REST_3,Pasta,STAFF_20,Multan,2025-03-27,4,PKR 1124,PKR 0.0,PKR 4496.0,PKR 510.71,PKR 61.61,16,51,1,5
ORDER_149,CUST_59,REST_3,Pizza,STAFF_11,Multan,2025-03-18,3,PKR 432,PKR 0.15,PKR 1101.6,PKR 437.54,PKR 81.44,11,37,1,5
ORDER_150,CUST_66,REST_9,BBQ Platter,STAFF_19,Sukkur,2025-04-17,4,PKR 1770,PKR 0.0,PKR 7080.0,PKR 1490.39,PKR 477.05,10,37,1,1
